load,tempc,year,month,day,hour
10467,-29,2017,1,1,0
10157,-29,2017,1,1,1
9645,-28,2017,1,1,2
9630,-29,2017,1,1,3
9656,-30,2017,1,1,4
9657,-30,2017,1,1,5
9692,-29,2017,1,1,6
9720,-29,2017,1,1,7
9868,-28,2017,1,1,8
9852,-29,2017,1,1,9
9942,-27,2017,1,1,10
10187,-26,2017,1,1,11
10331,-23,2017,1,1,12
10343,-21,2017,1,1,13
10375,-19,2017,1,1,14
10346,-19,2017,1,1,15
10327,-21,2017,1,1,16
10433,-22,2017,1,1,17
10390,-25,2017,1,1,18
10381,-26,2017,1,1,19
10379,-26,2017,1,1,20
10388,-27,2017,1,1,21
10323,-27,2017,1,1,22
10311,-27,2017,1,1,23
10233,-27,2017,1,2,0
9913,-28,2017,1,2,1
9572,-28,2017,1,2,2
9575,-29,2017,1,2,3
9535,-30,2017,1,2,4
9536,-29,2017,1,2,5
9569,-31,2017,1,2,6
9544,-31,2017,1,2,7
9849,-31,2017,1,2,8
9879,-31,2017,1,2,9
10052,-31,2017,1,2,10
10139,-29,2017,1,2,11
10307,-28,2017,1,2,12
10251,-28,2017,1,2,13
10077,-27,2017,1,2,14
9876,-25,2017,1,2,15
9903,-25,2017,1,2,16
9945,-26,2017,1,2,17
10358,-27,2017,1,2,18
10362,-28,2017,1,2,19
10377,-28,2017,1,2,20
10367,-28,2017,1,2,21
10380,-26,2017,1,2,22
10378,-24,2017,1,2,23
10027,-23,2017,1,3,0
9569,-22,2017,1,3,1
9514,-21,2017,1,3,2
9465,-20,2017,1,3,3
9424,-19,2017,1,3,4
9545,-19,2017,1,3,5
9273,-18,2017,1,3,6
9361,-18,2017,1,3,7
9689,-18,2017,1,3,8
10395,-17,2017,1,3,9
10662,-17,2017,1,3,10
10739,-18,2017,1,3,11
10710,-18,2017,1,3,12
10430,-16,2017,1,3,13
10415,-14,2017,1,3,14
10254,-14,2017,1,3,15
10253,-16,2017,1,3,16
10324,-16,2017,1,3,17
10563,-18,2017,1,3,18
10827,-18,2017,1,3,19
10857,-19,2017,1,3,20
10854,-20,2017,1,3,21
10613,-21,2017,1,3,22
10450,-22,2017,1,3,23
10174,-23,2017,1,4,0
9756,-24,2017,1,4,1
9600,-25,2017,1,4,2
9615,-25,2017,1,4,3
9603,-26,2017,1,4,4
9585,-26,2017,1,4,5
9588,-25,2017,1,4,6
9620,-26,2017,1,4,7
9898,-24,2017,1,4,8
10451,-24,2017,1,4,9
10712,-24,2017,1,4,10
10764,-24,2017,1,4,11
10609,-23,2017,1,4,12
10526,-22,2017,1,4,13
10284,-21,2017,1,4,14
10346,-21,2017,1,4,15
10507,-20,2017,1,4,16
10444,-21,2017,1,4,17
10444,-23,2017,1,4,18
10513,-25,2017,1,4,19
10502,-27,2017,1,4,20
10428,-26,2017,1,4,21
10384,-26,2017,1,4,22
10385,-27,2017,1,4,23
9985,-27,2017,1,5,0
9676,-26,2017,1,5,1
9490,-26,2017,1,5,2
9467,-26,2017,1,5,3
9474,-25,2017,1,5,4
9459,-25,2017,1,5,5
9492,-25,2017,1,5,6
9468,-23,2017,1,5,7
9549,-23,2017,1,5,8
9826,-24,2017,1,5,9
9889,-23,2017,1,5,10
10022,-23,2017,1,5,11
10086,-21,2017,1,5,12
10074,-19,2017,1,5,13
10101,-18,2017,1,5,14
10053,-17,2017,1,5,15
10090,-16,2017,1,5,16
10099,-16,2017,1,5,17
10278,-17,2017,1,5,18
10401,-19,2017,1,5,19
10451,-18,2017,1,5,20
10449,-19,2017,1,5,21
10422,-19,2017,1,5,22
10287,-17,2017,1,5,23
9924,-18,2017,1,6,0
9781,-18,2017,1,6,1
9708,-18,2017,1,6,2
9681,-17,2017,1,6,3
9693,-17,2017,1,6,4
9671,-17,2017,1,6,5
9792,-15,2017,1,6,6
9875,-15,2017,1,6,7
9851,-14,2017,1,6,8
9922,-14,2017,1,6,9
9960,-15,2017,1,6,10
10155,-14,2017,1,6,11
10170,-14,2017,1,6,12
10164,-13,2017,1,6,13
10164,-13,2017,1,6,14
10170,-12,2017,1,6,15
10148,-12,2017,1,6,16
10252,-12,2017,1,6,17
10408,-12,2017,1,6,18
10398,-11,2017,1,6,19
10433,-11,2017,1,6,20
10456,-11,2017,1,6,21
10409,-11,2017,1,6,22
10052,-10,2017,1,6,23
9949,-10,2017,1,7,0
9975,-10,2017,1,7,1
9829,-10,2017,1,7,2
9839,-10,2017,1,7,3
9825,-10,2017,1,7,4
9826,-9,2017,1,7,5
9766,-11,2017,1,7,6
9770,-13,2017,1,7,7
9806,-16,2017,1,7,8
9812,-16,2017,1,7,9
10085,-17,2017,1,7,10
10132,-20,2017,1,7,11
10158,-17,2017,1,7,12
10201,-15,2017,1,7,13
10137,-15,2017,1,7,14
9970,-15,2017,1,7,15
9981,-15,2017,1,7,16
9995,-17,2017,1,7,17
10412,-18,2017,1,7,18
10439,-19,2017,1,7,19
10403,-21,2017,1,7,20
10195,-21,2017,1,7,21
10213,-22,2017,1,7,22
9933,-20,2017,1,7,23
9933,-20,2017,1,8,0
9872,-19,2017,1,8,1
9824,-20,2017,1,8,2
9828,-19,2017,1,8,3
9781,-20,2017,1,8,4
9718,-20,2017,1,8,5
9697,-21,2017,1,8,6
9652,-21,2017,1,8,7
9723,-21,2017,1,8,8
9862,-20,2017,1,8,9
9883,-20,2017,1,8,10
9921,-20,2017,1,8,11
10031,-19,2017,1,8,12
9995,-19,2017,1,8,13
9902,-19,2017,1,8,14
9901,-20,2017,1,8,15
9858,-20,2017,1,8,16
9907,-20,2017,1,8,17
10119,-22,2017,1,8,18
10259,-21,2017,1,8,19
10309,-20,2017,1,8,20
10180,-23,2017,1,8,21
10071,-25,2017,1,8,22
10096,-27,2017,1,8,23
9438,-27,2017,1,9,0
9363,-26,2017,1,9,1
9353,-26,2017,1,9,2
9332,-26,2017,1,9,3
9350,-26,2017,1,9,4
9371,-25,2017,1,9,5
9358,-25,2017,1,9,6
9355,-24,2017,1,9,7
9376,-22,2017,1,9,8
9707,-21,2017,1,9,9
10213,-17,2017,1,9,10
10234,-18,2017,1,9,11
10242,-19,2017,1,9,12
10072,-19,2017,1,9,13
10026,-18,2017,1,9,14
9988,-17,2017,1,9,15
9995,-19,2017,1,9,16
10166,-17,2017,1,9,17
10386,-18,2017,1,9,18
10563,-19,2017,1,9,19
10593,-19,2017,1,9,20
10495,-20,2017,1,9,21
10377,-19,2017,1,9,22
10094,-22,2017,1,9,23
9823,-21,2017,1,10,0
