load,tempc,year,month,day,hour
8737,-29,2017,1,1,0
8718,-29,2017,1,1,1
8485,-28,2017,1,1,2
8414,-29,2017,1,1,3
8182,-30,2017,1,1,4
8142,-30,2017,1,1,5
8245,-29,2017,1,1,6
8152,-29,2017,1,1,7
8261,-28,2017,1,1,8
8248,-29,2017,1,1,9
8491,-27,2017,1,1,10
8535,-26,2017,1,1,11
8612,-23,2017,1,1,12
8369,-21,2017,1,1,13
8409,-19,2017,1,1,14
8232,-19,2017,1,1,15
8304,-21,2017,1,1,16
8339,-22,2017,1,1,17
8632,-25,2017,1,1,18
8732,-26,2017,1,1,19
8708,-26,2017,1,1,20
8721,-27,2017,1,1,21
8854,-27,2017,1,1,22
8580,-27,2017,1,1,23
8648,-27,2017,1,2,0
8392,-28,2017,1,2,1
8228,-28,2017,1,2,2
8207,-29,2017,1,2,3
8258,-30,2017,1,2,4
8156,-29,2017,1,2,5
8302,-31,2017,1,2,6
8201,-31,2017,1,2,7
8415,-31,2017,1,2,8
8487,-31,2017,1,2,9
8692,-31,2017,1,2,10
8782,-29,2017,1,2,11
8854,-28,2017,1,2,12
8544,-28,2017,1,2,13
8474,-27,2017,1,2,14
8384,-25,2017,1,2,15
8468,-25,2017,1,2,16
8599,-26,2017,1,2,17
8760,-27,2017,1,2,18
8858,-28,2017,1,2,19
8954,-28,2017,1,2,20
8985,-28,2017,1,2,21
8946,-26,2017,1,2,22
8772,-24,2017,1,2,23
8626,-23,2017,1,3,0
8451,-22,2017,1,3,1
8278,-21,2017,1,3,2
8269,-20,2017,1,3,3
8319,-19,2017,1,3,4
8197,-19,2017,1,3,5
8451,-18,2017,1,3,6
8455,-18,2017,1,3,7
8770,-18,2017,1,3,8
8982,-17,2017,1,3,9
9180,-17,2017,1,3,10
9343,-18,2017,1,3,11
9335,-18,2017,1,3,12
9049,-16,2017,1,3,13
8839,-14,2017,1,3,14
8602,-14,2017,1,3,15
8788,-16,2017,1,3,16
8858,-16,2017,1,3,17
9133,-18,2017,1,3,18
9224,-18,2017,1,3,19
9174,-19,2017,1,3,20
9138,-20,2017,1,3,21
9091,-21,2017,1,3,22
8862,-22,2017,1,3,23
8764,-23,2017,1,4,0
8608,-24,2017,1,4,1
8496,-25,2017,1,4,2
8476,-25,2017,1,4,3
8374,-26,2017,1,4,4
8363,-26,2017,1,4,5
8570,-25,2017,1,4,6
8389,-26,2017,1,4,7
8862,-24,2017,1,4,8
9095,-24,2017,1,4,9
9134,-24,2017,1,4,10
9153,-24,2017,1,4,11
9159,-23,2017,1,4,12
8838,-22,2017,1,4,13
8773,-21,2017,1,4,14
8637,-21,2017,1,4,15
8695,-20,2017,1,4,16
8747,-21,2017,1,4,17
9045,-23,2017,1,4,18
9158,-25,2017,1,4,19
9082,-27,2017,1,4,20
8961,-26,2017,1,4,21
8972,-26,2017,1,4,22
8725,-27,2017,1,4,23
8595,-27,2017,1,5,0
8420,-26,2017,1,5,1
8181,-26,2017,1,5,2
8102,-26,2017,1,5,3
8058,-25,2017,1,5,4
