load,tempc,year,month,day,hour
3047,-4,2017,1,1,0
2894,-4,2017,1,1,1
2694,-4,2017,1,1,2
2652,-4,2017,1,1,3
2527,-4,2017,1,1,4
2391,-5,2017,1,1,5
2391,-5,2017,1,1,6
2431,-5,2017,1,1,7
2503,-5,2017,1,1,8
2413,-5,2017,1,1,9
2560,-5,2017,1,1,10
2655,-4,2017,1,1,11
2715,-4,2017,1,1,12
2685,-3,2017,1,1,13
2725,-3,2017,1,1,14
2682,-3,2017,1,1,15
2743,-3,2017,1,1,16
2961,-4,2017,1,1,17
2961,-4,2017,1,1,18
3108,-4,2017,1,1,19
3076,-4,2017,1,1,20
3082,-4,2017,1,1,21
2980,-4,2017,1,1,22
2876,-4,2017,1,1,23
2767,-4,2017,1,2,0
2612,-4,2017,1,2,1
2581,-4,2017,1,2,2
2518,-5,2017,1,2,3
2435,-5,2017,1,2,4
2382,-5,2017,1,2,5
2435,-5,2017,1,2,6
2459,-5,2017,1,2,7
2642,-5,2017,1,2,8
2640,-4,2017,1,2,9
2796,-4,2017,1,2,10
2809,-3,2017,1,2,11
2959,-3,2017,1,2,12
2859,-2,2017,1,2,13
2797,-2,2017,1,2,14
2736,-1,2017,1,2,15
2783,-1,2017,1,2,16
2886,-2,2017,1,2,17
3010,-3,2017,1,2,18
3070,-3,2017,1,2,19
3158,-4,2017,1,2,20
3188,-5,2017,1,2,21
3098,-7,2017,1,2,22
3027,-6,2017,1,2,23
2783,-6,2017,1,3,0
2623,-6,2017,1,3,1
2493,-6,2017,1,3,2
2387,-6,2017,1,3,3
2318,-6,2017,1,3,4
2362,-6,2017,1,3,5
2360,-6,2017,1,3,6
2512,-5,2017,1,3,7
2763,-6,2017,1,3,8
2926,-6,2017,1,3,9
2924,-6,2017,1,3,10
2934,-5,2017,1,3,11
2965,-4,2017,1,3,12
2914,-3,2017,1,3,13
2853,-3,2017,1,3,14
2855,-2,2017,1,3,15
2857,-2,2017,1,3,16
2894,-4,2017,1,3,17
3108,-4,2017,1,3,18
3158,-5,2017,1,3,19
3189,-5,2017,1,3,20
3142,-5,2017,1,3,21
3057,-6,2017,1,3,22
2935,-6,2017,1,3,23
2743,-6,2017,1,4,0
2589,-6,2017,1,4,1
2453,-6,2017,1,4,2
2458,-6,2017,1,4,3
2422,-6,2017,1,4,4
2376,-5,2017,1,4,5
2384,-6,2017,1,4,6
2555,-5,2017,1,4,7
2745,-5,2017,1,4,8
2880,-3,2017,1,4,9
2975,-1,2017,1,4,10
2977,1,2017,1,4,11
2999,3,2017,1,4,12
2901,3,2017,1,4,13
2916,1,2017,1,4,14
2937,0,2017,1,4,15
2908,-1,2017,1,4,16
